Protein ID,Rate Constant
EG12002-MONOMER,1.925408834888737e-05
EG12003-MONOMER,1.925408834888737e-05
EG12004-MONOMER,1.925408834888737e-05
EG12016-MONOMER,1.925408834888737e-05
EG12017-MONOMER,1.925408834888737e-05
EG12022-MONOMER,1.925408834888737e-05
EG12023-MONOMER,1.925408834888737e-05
EG12024-MONOMER,1.925408834888737e-05
EG12027-MONOMER,1.925408834888737e-05
EG12028-MONOMER,1.925408834888737e-05
EG12030-MONOMER,1.925408834888737e-05
EG12031-MONOMER,1.925408834888737e-05
EG12036-MONOMER,1.925408834888737e-05
EG12042-MONOMER,1.925408834888737e-05
EG12049-MONOMER,1.925408834888737e-05
EG12053-MONOMER,1.925408834888737e-05
EG12054-MONOMER,1.925408834888737e-05
EG12069-MONOMER,1.925408834888737e-05
EG12073-MONOMER,1.925408834888737e-05
EG12080-MONOMER,1.925408834888737e-05
EG12081-MONOMER,1.925408834888737e-05
EG12096-MONOMER,1.925408834888737e-05
EG12101-MONOMER,1.925408834888737e-05
EG12105-MONOMER,1.925408834888737e-05
EG12106-MONOMER,1.925408834888737e-05
EG12107-MONOMER,1.925408834888737e-05
EG12108-MONOMER,1.925408834888737e-05
EG12113-MONOMER,1.925408834888737e-05
EG12115-MONOMER,1.925408834888737e-05
EG12116-MONOMER,1.925408834888737e-05
EG12119-MONOMER,1.925408834888737e-05
EG12122-MONOMER,1.925408834888737e-05
EG12128-MONOMER,1.925408834888737e-05
EG12134-MONOMER,1.925408834888737e-05
EG12138-MONOMER,1.925408834888737e-05
EG12139-MONOMER,1.925408834888737e-05
EG12140-MONOMER,1.925408834888737e-05
EG12147-MONOMER,1.925408834888737e-05
