Transcription Units from All genes of E. coli K-12 substr. MG1655	Matches	Sequence - coordinates of DNA region	Sequence - length of region	Direction
TU0-13009	EG10854 // EG11254 // EG11255 // EG10607 // EG10606	[rsfS-rlmH-mrdAB-rlpA 664,102 &larr; 669,036]	4935	-
TU0-14150	G7841	[TU0-14150 4,390,457 &larr; 4,391,509]	1053	-
TU0-5186	EG10048 // EG10523 // EG10047	[rsmA-apaGH 50,380 &larr; 52,430]	2051	-
TU0-14355	EG12163	[rsmB 3,435,207 &rarr; 3,436,496]	1290	+
TU0-14215	G7950	[TU0-14215 4,606,669 &larr; 4,607,700]	1032	-
TU0-13942	EG12212 // EG10343	[TU0-13942 3,604,393 &rarr; 3,605,248]	856	+
TU0-13805	EG12366 // EG10419	[TU0-13805 3,091,134 &rarr; 3,092,828]	1695	+
TU0-13428	G7008	[TU0-13428 1,920,223 &rarr; 1,921,662]	1440	+
TU0-42479	EG10376	[rsmG 3,923,057 &larr; 3,923,680]	624	-
TU0-13333	G6839 // G6838	[rspA-rspB 1,652,896 &larr; 1,655,141]	2246	-
TU0-8367	EG12121 // EG12120	[rssAB 1,289,245 &rarr; 1,291,255]	2011	+
TU0-8364	EG12121	[rssB 1,290,242 &rarr; 1,291,255]	1014	+
TU0-7784	G6864 // EG11233	[rstAB 1,682,159 &rarr; 1,684,183]	2025	+
TU0-13555	EG12044	[TU0-13555 2,279,788 &larr; 2,280,483]	696	-
TU0-8458	EG10662 // G6873 // G6876 // G6872 // G6875 // G6871 // G6874	[rsxABCDGE-nth 1,705,767 &rarr; 1,712,158]	6392	+
TU61	G7751 // G7750	[rtcBA 3,555,833 &larr; 3,558,079]	2247	-
TU0-8341	EG12356	[rtcR 3,558,268 &rarr; 3,559,866]	1599	+
TU0-13181	G0-9609	[TU0-13181 1,287,066 &larr; 1,287,236]	171	-
TU0-3645	G6520 // G6523 // G6519 // G6522 // G6518 // G6521 // G6517	[rutABCDEFG 1,068,511 &larr; 1,074,011]	5501	-
TU0-14540	EG12301	[rutR 1,074,242 &rarr; 1,074,880]	639	+
TU-8423	EG12301	[rutR 1,074,242 &rarr; 1,074,880]	639	+
TU00353	RUVA // RUVB	[ruvAB 1,944,346 &larr; 1,945,976]	1631	-
TU0-6661	RUVA // RUVB	[ruvAB 1,944,346 &larr; 1,945,976]	1631	-
TU0-8242	EG10925	[ruvC 1,946,855 &larr; 1,947,376]	522	-
TU0-42460	G0-10715 // G0-8881	[rybA-mntS 852,725 &larr; 853,064]	340	-
TU0-13070	G0-8880	[rybB 887,977 &larr; 888,057]	81	-
TU0-13367	G0-8876	[TU0-13367 1,764,713 &larr; 1,764,780]	68	-
TU0-14392	G0-10592	[rydC 1,491,443 &larr; 1,491,506]	64	-
TU0-8508	G0-8865	[ryeA 1,923,066 &rarr; 1,923,337]	272	+
TU0-13654	G0-8879	[TU0-13654 2,653,855 &rarr; 2,654,158]	304	+
TU0-14423	G0-10600	[ryfD 2,734,153 &larr; 2,734,295]	143	-
TU0-3401	G0-8872	[ryhB 3,580,927 &larr; 3,581,016]	90	-
TU0-8519	G0-8875	[ryjA 4,277,927 &larr; 4,278,066]	140	-
TU0-14424	G0-10609	[ryjB 4,527,977 &rarr; 4,528,066]	90	+
TU0-12978	G0-10436	[TU0-12978 578,327 &rarr; 578,509]	183	+
TU0-13232	G0-10449	[TU0-13232 1,423,400 &rarr; 1,423,585]	186	+
TU0-13304	G6811	[TU0-13304 1,613,315 &larr; 1,614,703]	1389	-
TU0-14545	G6789 // G6790	[safA-ydeO 1,582,926 &larr; 1,583,959]	1034	-
TU0-13537	EG12025 // G7144	[TU0-13537 2,232,878 &rarr; 2,233,839]	962	+
TU0-13206	EG12304 // G2002 // EG12305 // G2001 // G2000	[TU0-13206 1,351,828 &larr; 1,357,110]	5283	-
TU0-12791	EG11512	[TU0-12791 9,928 &larr; 10,494]	567	-
TU0-6513	EG10926	[sbcB 2,082,756 &rarr; 2,084,183]	1428	+
TU0-12917	EG11094 // EG10927	[sbcDC 412,607 &larr; 416,952]	4346	-
TU0-3426	G6227 // EG10928	[sbmA-yaiW 396,639 &rarr; 398,966]	2328	+
TU0-13487	EG11892	[sbmC 2,080,789 &larr; 2,081,262]	474	-
TU0-14637	EG11892	[sbmC 2,080,789 &larr; 2,081,262]	474	-
TU0-14080	EG10929	[TU0-14080 4,108,834 &rarr; 4,109,823]	990	+
TU0-8343	G7517 // EG11444 // G7516 // EG11445	[scpA-argK-scpBC 3,060,850 &rarr; 3,066,280]	5431	+
TU00223	EG10930	[sdaA 1,896,932 &rarr; 1,898,296]	1365	+
TU00454	EG11623 // EG12142	[sdaCB 2,928,229 &rarr; 2,930,943]	2715	+
TU00524	G0-17009 // EG10932 // EG10979 // EG10982 // EG10931 // EG10934 // EG10981 // EG10933 // EG10980	[sdhCDAB-sucABCD-sdhX 755,177 &rarr; 765,150]	9974	+
TU0-6702	EG10932 // EG10931 // EG10934	[sdhDAB 755,560 &rarr; 758,405]	2846	+
TU0-13788	G7509 // G7510	[sdhE-ygfX 3,040,416 &larr; 3,041,070]	655	-
TU0-42622	EG10935	[sdiA 1,996,110 &larr; 1,996,832]	723	-
TU0-42466	EG10935	[sdiA 1,996,110 &larr; 1,996,832]	723	-
TU0-13452	EG10935	[TU0-13452 1,996,110 &larr; 1,996,832]	723	-
TU0-42626	EG10935	[sdiA 1,996,110 &larr; 1,996,832]	723	-
TU0-42467	EG10935	[sdiA 1,996,110 &larr; 1,996,832]	723	-
TU0-41901	EG10935	[sdiA 1,996,110 &larr; 1,996,832]	723	-
TU0-42465	EG10935	[sdiA 1,996,110 &larr; 1,996,832]	723	-
TU0-42630	G0-10699	[sdsN 1,996,921 &rarr; 1,997,057]	137	+
TU0-42620	G0-10699	[sdsN 1,996,921 &rarr; 1,997,057]	137	+
TU0-13431	G0-8883	[sdsR 1,923,104 &larr; 1,923,207]	104	-
TU0-3463	G0-8883 // G7011	[sdsR-pphA 1,922,313 &larr; 1,923,207]	895	-
TU0-45144	G0-8883 // G7011	[sdsR-pphA 1,922,313 &larr; 1,923,207]	895	-
TU0-13995	EG20091 // EG10937	[secB-gpsA 3,782,642 &larr; 3,784,128]	1487	-
TU00354	EG10667 // EG10939	[secE-nusG 4,177,358 &rarr; 4,178,288]	931	+
TU0-14328	EG12095	[secG 3,322,173 &larr; 3,322,505]	333	-
TU0-14573	EG30050 // EG12095	[secG-leuU 3,322,072 &larr; 3,322,505]	434	-
TU0-14574	EG30050 // EG12095	[secG-leuU 3,322,072 &larr; 3,322,505]	434	-
TU0-4343	EG11087 // EG10936 // EG10626	[secMA-mutT 107,705 &rarr; 111,433]	3729	+
TU00355	EG10942 // EG10941	[selAB 3,758,017 &larr; 3,761,249]	3233	-
TU0-14007	EG30092	[selC 3,836,222 &rarr; 3,836,316]	95	+
TU0-14798	EG11014 // EG10943	[selD-topB 1,844,999 &larr; 1,848,008]	3010	-
TU0-14527	EG11014 // EG10943	[selD-topB 1,844,999 &larr; 1,848,008]	3010	-
TU0-4444	EG12197 // EG12144	[seqA-pgm 712,987 &rarr; 715,198]	2212	+
TU0-2342	EG10944	[serA 3,057,178 &larr; 3,058,410]	1233	-
TU00224	EG10944	[serA 3,057,178 &larr; 3,058,410]	1233	-
TU0-14224	EG10945	[TU0-14224 4,624,895 &rarr; 4,625,863]	969	+
TU0-6514	EG11296 // EG10945	[serB-radA 4,624,895 &rarr; 4,627,294]	2400	+
TU0-5964	EG10946	[serC 957,653 &rarr; 958,741]	1089	+
TU0-42569	EG10946	[serC 957,653 &rarr; 958,741]	1089	+
TU00357	EG10946 // EG10073	[serC-aroA 957,653 &rarr; 960,095]	2443	+
TU0-13080	EG10947	[serS 939,428 &rarr; 940,720]	1293	+
TU00509	EG30093	[serT 1,031,625 &larr; 1,031,712]	88	-
TU00513	EG30094	[serU 2,043,468 &larr; 2,043,557]	90	-
TU00515	EG30015 // EG30018 // EG30095 // EG30013 // EG30019	[serV-argVYZQ 2,817,784 &larr; 2,818,645]	862	-
TU0-42660	EG30096	[serW 925,884 &larr; 925,971]	88	-
TU00508	EG30096	[serW 925,884 &larr; 925,971]	88	-
TU00510	EG30097	[serX 1,097,565 &larr; 1,097,652]	88	-
TU0-14239	EG12034	[TU0-14239 2,263,863 &rarr; 2,265,044]	1182	+
TU0-14008	EG11687	[TU0-14008 3,836,953 &rarr; 3,838,137]	1185	+
TU0-12966	G6290	[TU0-12966 558,212 &rarr; 558,754]	543	+
TU0-12967	G6291 // G6292	[TU0-12967 558,974 &rarr; 562,300]	3327	+
TU0-12968	EG12388 // G6293	[TU0-12968 562,336 &rarr; 563,845]	1510	+
TU00358	EG10949 // EG10230	[sfsA-dksA 160,149 &larr; 161,486]	1338	-
TU0-13886	EG10656	[sfsB 3,334,909 &rarr; 3,335,187]	279	+
TU0-14193	G7915 // G7913 // G0-10241 // EG12556 // EG12554 // EG12557 // G7914	[TU0-14193 4,526,106 &larr; 4,531,651]	5546	-
TU0-12805	G0-9381 // EG12094 // EG11572 // EG11574 // EG11573	[sgrR-sroA-thiBPQ 72,229 &larr; 77,299]	5071	-
TU0-12806	EG11754 // G0-10617 // G0-9941	[sgrST-setA 77,367 &rarr; 78,799]	1433	+
TU0-42474	G7067	[shiA 2,053,643 &rarr; 2,054,959]	1317	+
TU0-14422	G0-10634	[shoB 2,700,117 &larr; 2,700,197]	81	-
TU0-13502	G0-8884	[sibA 2,153,311 &rarr; 2,153,454]	144	+
TU0-13503	G0-8885	[sibB 2,153,646 &rarr; 2,153,781]	136	+
TU0-14717	G0-8886	[sibC 3,056,851 &rarr; 3,056,991]	141	+
TU0-13845	G0-8913	[sibD 3,194,721 &larr; 3,194,865]	145	-
TU0-14716	G0-10602	[sibE 3,195,097 &larr; 3,195,240]	144	-
TU0-8509	EG12154	[sieB 1,418,671 &rarr; 1,419,159]	489	+
TU0-3481	G7211	[sixA 2,456,327 &larr; 2,456,812]	486	-
TU00096	EG11889 // EG11890	[slp-dctR 3,653,961 &rarr; 3,655,213]	1253	+
TU0-14226	EG10950	[slt 4,630,733 &rarr; 4,632,670]	1938	+
TU0-8511	G6882	[slyA 1,720,390 &larr; 1,720,824]	435	-
TU0-7802	G6881	[slyB 1,719,876 &rarr; 1,720,343]	468	+
TU0-7803	G6881	[slyB 1,719,876 &rarr; 1,720,343]	468	+
TU0-13917	EG11663	[TU0-13917 3,477,907 &larr; 3,478,497]	591	-
TU0-8512	EG11664	[slyX 3,477,640 &rarr; 3,477,858]	219	+
TU0-7282	EG11604	[smf 3,432,436 &larr; 3,433,560]	1125	-
TU0-14274	EG11605	[smg 3,431,991 &larr; 3,432,464]	474	-
TU0-13686	EG11782	[TU0-13686 2,754,896 &rarr; 2,755,378]	483	+
TU261	EG12165 // EG11252 // EG12167 // EG10618	[smtA-mukFEB 973,537 &rarr; 980,786]	7250	+
TU00064	EG10953	[sodA 4,100,810 &rarr; 4,101,430]	621	+
TU0-1681	EG10954	[sodB 1,735,378 &rarr; 1,735,959]	582	+
TU0-13356	G6886	[sodC 1,724,134 &larr; 1,724,655]	522	-
TU0-13872	G7629 // EG10955	[sohA-yhaV 3,277,002 &rarr; 3,277,801]	800	+
TU0-962	EG10956	[sohB 1,329,332 &rarr; 1,330,381]	1050	+
TU0-961	EG10956	[sohB 1,329,332 &rarr; 1,330,381]	1050	+
TU0-13257	G0-9611	[sokB 1,492,119 &rarr; 1,492,174]	56	+
TU0-12795	G0-9581	[TU0-12795 16,952 &rarr; 17,006]	55	+
TU0-44223	G0-10695	[sokX 2,887,353 &rarr; 2,887,408]	56	+
TU0-13127	G6555 // G6556	[solA-yceO 1,119,307 &larr; 1,120,586]	1280	-
TU00456	EG10957	[soxR 4,277,469 &rarr; 4,277,933]	465	+
TU00211	EG10958	[soxS 4,277,060 &larr; 4,277,383]	324	-
TU00204	EG10960 // EG10959	[speAB 3,082,877 &larr; 3,085,911]	3035	-
TU0-6625	EG10960	[speB 3,082,877 &larr; 3,083,797]	921	-
TU00124	EG10961	[speC 3,107,020 &larr; 3,109,155]	2136	-
TU0-44215	EG10962	[speD 134,788 &larr; 135,582]	795	-
TU0-44217	EG10963	[speE 135,598 &larr; 136,464]	867	-
TU00360	G0-17074 // EG10964 // EG10753	[speF-potE 716,946 &larr; 720,822]	3877	-
TU797	EG30098	[spf 4,049,899 &rarr; 4,050,007]	109	+
TU0-13391	EG10968	[TU0-13391 1,848,837 &rarr; 1,850,693]	1857	+
TU-8381	G6939	[spy 1,825,140 &larr; 1,825,625]	486	-
TU0-3901	EG11508	[sra 1,555,826 &larr; 1,555,963]	138	-
TU0-8514	G0-8861	[sraA 458,728 &larr; 458,784]	57	-
TU0-14333	G0-8862	[sraB 1,146,589 &rarr; 1,146,757]	169	+
TU0-8516	G0-8870	[sraG 3,311,183 &rarr; 3,311,398]	216	+
TU0-1061	EG11831 // EG11297	[srkA-dsbA 4,042,415 &rarr; 4,044,044]	1630	+
TU00133	EG10972 // EG10971 // G8210 // EG10970 // EG10974 // EG10969 // EG10973	[srlAEBD-gutM-srlR-gutQ 2,825,832 &rarr; 2,830,778]	4947	+
TU0-7042	EG10974	[srlR 2,829,047 &rarr; 2,829,820]	774	+
TU0-8521	EG10975	[srmB 2,712,896 &rarr; 2,714,230]	1335	+
TU0-14425	G0-9381	[sroA 75,516 &larr; 75,608]	93	-
TU0-13839	G0-9387 // EG10465	[sroG-ribB 3,183,813 &larr; 3,184,718]	906	-
TU0-14101	G0-9388	[sroH 4,190,327 &larr; 4,190,487]	161	-
TU0-6564	EG10976	[ssb 4,274,125 &rarr; 4,274,661]	537	+
TU00065	EG10976	[ssb 4,274,125 &rarr; 4,274,661]	537	+
TU0-6563	EG10976	[ssb 4,274,125 &rarr; 4,274,661]	537	+
TU0-8526	EG11600	[sseA 2,652,494 &rarr; 2,653,339]	846	+
TU0-13655	EG11601	[TU0-13655 2,654,157 &larr; 2,654,933]	777	-
TU0-42558	G7498	[ssnA 3,019,161 &rarr; 3,020,489]	1329	+
TU00361	EG10977 // EG10978	[sspAB 3,376,279 &larr; 3,377,420]	1142	-
TU0-42503	EG30100	[ssrA 2,755,593 &rarr; 2,755,955]	363	+
TU0-36424	EG30099	[ssrS 3,055,983 &rarr; 3,056,165]	183	+
TU0-36423	EG30099	[ssrS 3,055,983 &rarr; 3,056,165]	183	+
TU0-14689	EG30099 // EG11158	[ssrS-ygfA 3,055,983 &rarr; 3,056,789]	807	+
TU0-13794	EG30099 // EG11158	[ssrS-ygfA 3,055,983 &rarr; 3,056,789]	807	+
TU0-13860	EG12732	[sstT 3,239,944 &rarr; 3,241,188]	1245	+
TU0-6629	G6478 // G6476 // EG12358 // G6479 // G6477	[ssuEADCB 993,277 &larr; 997,512]	4236	-
TU0-13152	EG11120 // G6599	[TU0-13152 1,208,517 &larr; 1,209,655]	1139	-
TU0-13236	G6695 // G6696	[TU0-13236 1,429,049 &rarr; 1,432,986]	3938	+
TU0-7521	EG11428	[sthA 4,159,390 &larr; 4,160,790]	1401	-
TU00393	EG11554	[stpA 2,798,091 &larr; 2,798,495]	405	-
TU00394	EG11554	[stpA 2,798,091 &larr; 2,798,495]	405	-
TU00395	EG11554	[stpA 2,798,091 &larr; 2,798,495]	405	-
TU0-42509	EG10979 // EG10980	[sucAB 758,706 &rarr; 762,739]	4034	+
TU00103	EG10979 // EG10982 // EG10981 // EG10980	[sucABCD 758,706 &rarr; 765,049]	6344	+
TU0-2621	G6906 // EG11378 // G6905 // G6909 // G6908 // G6907	[sufABCDSE 1,758,874 &larr; 1,764,386]	5513	-
TU0-1241	EG11616	[sugE 4,376,875 &rarr; 4,377,192]	318	+
TU0-13658	EG10983	[suhB 2,663,442 &rarr; 2,664,245]	804	+
TU00066	EG10984	[sulA 1,020,410 &larr; 1,020,919]	510	-
TU00362	EG10048 // EG10523 // EG10985 // EG10047 // EG10691	[surA-pdxA-rsmA-apaGH 50,380 &larr; 54,702]	4323	-
TU0-13264	G6745	[sutR 1,506,172 &rarr; 1,506,708]	537	+
TU0-13737	G7451	[TU0-13737 2,924,735 &larr; 2,925,280]	546	-
TU0-8264	G7940	[symE 4,579,499 &larr; 4,579,840]	342	-
TU0-14420	G0-10610	[symR 4,579,835 &rarr; 4,579,911]	77	+
TU0-14173	G7883	[TU0-14173 4,474,862 &rarr; 4,475,314]	453	+
TU0-13978	EG10986 // EG12270	[TU0-13978 3,713,092 &rarr; 3,714,092]	1001	+
TU0-14644	EG11797	[talA 2,578,666 &rarr; 2,579,616]	951	+
TU0-8143	EG12100 // EG11797	[talA-tktB 2,578,666 &rarr; 2,581,639]	2974	+
TU0-6921	EG12100 // EG11797	[talA-tktB 2,578,666 &rarr; 2,581,639]	2974	+
TU0-8121	EG11556	[talB 8,238 &rarr; 9,191]	954	+
TU0-13300	G6806	[tam 1,607,346 &rarr; 1,608,104]	759	+
TU0-14165	G7876 // G7875 // G7874	[TU0-14165 4,442,382 &rarr; 4,448,235]	5854	+
TU0-13671	G7349 // G7350	[TU0-13671 2,719,223 &rarr; 2,722,613]	3391	+
TU0-1547	EG10148 // EG10147 // EG10151 // EG10987 // EG10988 // EG10150	[tar-tap-cheRBYZ 1,966,393 &larr; 1,972,691]	6299	-
TU0-13750	G7462	[TU0-13750 2,971,597 &rarr; 2,972,637]	1041	+
TU0-42519	G7806 // EG11479 // G7808	[tatABC 4,021,945 &rarr; 4,023,512]	1568	+
TU0-14052	EG11481 // G7806 // EG11479 // G7808	[tatABC 4,021,945 &rarr; 4,024,336]	2392	+
TU0-14053	EG11481	[TU0-14053 4,023,554 &rarr; 4,024,336]	783	+
TU0-13003	EG11305	[TU0-13003 658,947 &rarr; 659,150]	204	+
TU302	G6217 // G6219 // G6218 // EG12423	[tauABCD 385,232 &rarr; 388,646]	3415	+
TU0-13742	G7456	[TU0-13742 2,945,036 &larr; 2,945,842]	807	-
TU0-14515	G7039	[tcyJ 1,999,585 &larr; 2,000,385]	801	-
TU0-13384	G6934	[tcyP 1,810,934 &rarr; 1,812,325]	1392	+
TU00125	EG10990 // G7627 // EG10989 // G7624 // G7626 // EG10991 // EG11172	[tdcABCDEFG 3,258,285 &larr; 3,267,065]	8781	-
TU0-14551	EG10990 // G7627 // G7624 // G7626 // EG10991 // EG11172	[tdcBCDEFG 3,258,285 &larr; 3,266,028]	7744	-
TU0-13870	EG10992	[TU0-13870 3,267,380 &rarr; 3,267,598]	219	+
TU0-8527	EG10994	[tdk 1,293,527 &rarr; 1,294,144]	618	+
TU00364	EG11883 // EG11884	[tehAB 1,500,573 &rarr; 1,502,155]	1583	+
TU0-6623	EG11542 // G6269	[tesA-ybbO 518,340 &larr; 519,765]	1426	-
TU0-8528	EG10995	[tesB 474,301 &larr; 475,161]	861	-
TU0-12982	G6315	[TU0-12982 581,534 &rarr; 582,097]	564	+
TU0-13602	G7222	[TU0-13602 2,470,803 &rarr; 2,471,105]	303	+
TU0-12983	G6317	[TU0-12983 582,875 &rarr; 583,060]	186	+
TU870	EG10996 // EG11096	[tgt-yajC 426,137 &rarr; 427,619]	1483	+
TU00365	EG11590 // EG11585 // EG11589 // EG11587 // G1 // EG11586	[thiCEFSGH 4,190,735 &larr; 4,196,099]	5365	-
TU0-8529	G6238	[thiI 441,549 &rarr; 442,997]	1449	+
TU0-13512	M007 // G7135	[thiMD 2,183,716 &larr; 2,185,301]	1586	-
TU0-42486	EG11277	[thrL 190 &rarr; 255]	66	+
TU00178	EG11277 // EG10998 // EG11000 // EG10999	[thrLABC 190 &rarr; 5,020]	4831	+
TU00366	EG11001 // EG10506	[thrS-infC 1,800,096 &larr; 1,802,570]	2475	-
TU0-14257	EG10440 // EG10881 // EG10710 // EG10709 // EG11272 // EG11001 // EG10506 // EG11231	[thrS-infC-rpmI-rplT-pheMST-ihfA 1,795,253 &larr; 1,802,570]	7318	-
TU00504	EG30102 // EG30036 // EG30101 // EG30107 // EG11037	[thrU-tyrU-glyT-thrT-tufB 4,175,388 &rarr; 4,177,128]	1741	+
TU00490	EG30104	[thrW 262,871 &rarr; 262,946]	76	+
TU0-42616	EG11002	[thyA 2,964,361 &larr; 2,965,155]	795	-
TU0-12928	EG11003	[tig 455,133 &rarr; 456,431]	1299	+
TU0-14614	EG11003	[tig 455,133 &rarr; 456,431]	1299	+
TU0-14252	EG11003	[tig 455,133 &rarr; 456,431]	1299	+
TU0-12833	G6096	[TU0-12833 212,331 &rarr; 213,629]	1299	+
TU0-6241	G0-9962	[tisB 3,853,553 &rarr; 3,853,642]	90	+
TU0-13802	EG11427	[tktA 3,079,644 &larr; 3,081,635]	1992	-
TU0-7342	EG12100	[tktB 2,579,636 &rarr; 2,581,639]	2004	+
TU0-13902	G7689	[TU0-13902 3,390,583 &larr; 3,392,028]	1446	-
TU0-14167	EG10741	[tldE 4,457,959 &rarr; 4,459,311]	1353	+
TU0-42514	EG11276	[tnaC 3,888,435 &rarr; 3,888,509]	75	+
TU00085	EG11276 // EG11005 // EG11006	[tnaCAB 3,888,435 &rarr; 3,891,483]	3049	+
TU0-41586	EG12854 // EG10684 // EG11008	[TU0-41586 777,740 &rarr; 780,389]	2650	+
TU21	EG12854 // EG10684 // EG11008	[tolB-pal-ybgF 777,740 &rarr; 780,389]	2650	+
TU0-13838	EG11164 // EG11009 // EG11165	[tolC-ygiBC 3,178,115 &rarr; 3,181,581]	3467	+
TU0-14702	EG11164 // EG11009 // EG11165	[tolC-ygiBC 3,178,115 &rarr; 3,181,581]	3467	+
TU0-14704	EG11164 // EG11009 // EG11165	[tolC-ygiBC 3,178,115 &rarr; 3,181,581]	3467	+
TU0-14701	EG11164 // EG11009 // EG11165	[tolC-ygiBC 3,178,115 &rarr; 3,181,581]	3467	+
TU0-12943	EG12429 // EG10439	[tomB-hha 480,090 &larr; 480,708]	619	-
TU00167	EG11012	[tonB 1,311,089 &rarr; 1,311,808]	720	+
TU0-2504	EG11013	[topA 1,331,048 &rarr; 1,333,645]	2598	+
TU0-2501	EG11013	[topA 1,331,048 &rarr; 1,333,645]	2598	+
TU0-2505	EG11013	[topA 1,331,048 &rarr; 1,333,645]	2598	+
TU0-2502	EG11013	[topA 1,331,048 &rarr; 1,333,645]	2598	+
TU0-2503	EG11013	[topA 1,331,048 &rarr; 1,333,645]	2598	+
TU0-14195	G0-10473 // G7917	[TU0-14195 4,533,239 &larr; 4,534,053]	815	-
TU00212	EG12195 // EG11814 // EG11815	[torCAD 1,058,084 &rarr; 1,062,398]	4315	+
TU0-13607	G0-9621	[TU0-13607 2,476,310 &rarr; 2,476,510]	201	+
TU793	EG12615	[torR 1,057,262 &larr; 1,057,954]	693	-
TU0-13112	G6514	[TU0-13112 1,053,434 &larr; 1,056,178]	2745	-
TU0-8530	G6515	[torT 1,056,261 &rarr; 1,057,289]	1029	+
TU684	G7023 // G7022	[torYZ 1,954,578 &larr; 1,958,132]	3555	-
TU0-8531	G0-8894	[tp2 122,697 &larr; 122,857]	161	-
TU0-8061	EG11015	[tpiA 4,110,740 &larr; 4,111,507]	768	-
TU0-14668	EG11015	[tpiA 4,110,740 &larr; 4,111,507]	768	-
TU0-14330	G0-8893	[tpke11 14,080 &rarr; 14,167]	88	+
TU0-13611	G0-8906	[TU0-13611 2,496,194 &larr; 2,496,629]	436	-
TU0-8473	G6877	[tppB 1,712,769 &rarr; 1,714,271]	1503	+
TU544	G6660	[tpx 1,388,305 &larr; 1,388,811]	507	-
TU0-8532	G6859	[tqsA 1,673,913 &rarr; 1,674,947]	1035	+
TU00396	EG11017	[treA 1,245,679 &larr; 1,247,376]	1698	-
TU00213	EG12127 // EG11402	[treBC 4,463,054 &larr; 4,466,180]	3127	-
TU0-8360	EG12245	[treF 3,669,592 &rarr; 3,671,241]	1650	+
TU0-2441	EG12202	[treR 4,466,299 &larr; 4,467,246]	948	-
TU0-2442	EG12202	[treR 4,466,299 &larr; 4,467,246]	948	-
TU00397	EG12202	[treR 4,466,299 &larr; 4,467,246]	948	-
TU0-2443	EG12202	[treR 4,466,299 &larr; 4,467,246]	948	-
TU0-14627	EG11018	[trg 1,492,470 &rarr; 1,494,110]	1641	+
TU0-13505	G7118	[TU0-13505 2,165,668 &rarr; 2,167,029]	1362	+
TU0-13908	EG11019	[trkA 3,436,518 &rarr; 3,437,894]	1377	+
TU0-13233	EG11020	[TU0-13233 1,423,782 &rarr; 1,425,239]	1458	+
TU00430	EG11022	[trmA 4,162,170 &larr; 4,163,270]	1101	-
TU0-13809	EG11779 // EG12443	[TU0-13809 3,101,807 &larr; 3,102,852]	1046	-
TU0-8823	G7199	[trmC 2,441,764 &rarr; 2,443,770]	2007	+
TU0-13657	G7327	[TU0-13657 2,662,583 &larr; 2,663,323]	741	-
TU0-13994	EG11888	[TU0-13994 3,781,215 &rarr; 3,781,688]	474	+
TU3	EG11026 // EG11025 // EG11024	[trpCBA 1,316,416 &larr; 1,319,788]	3373	-
TU0-42510	EG11274	[trpL 1,323,038 &larr; 1,323,082]	45	-
TU00067	EG11026 // EG11025 // EG11028 // EG11024 // EG11027 // EG11274	[trpLEDCBA 1,316,416 &larr; 1,323,082]	6667	-
TU00220	EG11029	[trpR 4,632,760 &rarr; 4,633,086]	327	+
TU0-8862	EG11030	[trpS 3,512,634 &larr; 3,513,638]	1005	-
TU0-14371	EG30105	[trpt 3,946,957 &rarr; 3,947,032]	76	+
TU0-14314	G7422	[truD 2,870,255 &larr; 2,871,304]	1050	-
TU0-3103	EG11031	[trxA 3,965,761 &rarr; 3,966,090]	330	+
TU0-44224	EG11031	[trxA 3,965,761 &rarr; 3,966,090]	330	+
TU0-3102	EG11031	[trxA 3,965,761 &rarr; 3,966,090]	330	+
TU0-13078	EG11032	[trxB 931,085 &larr; 932,050]	966	-
TU0-3104	EG11887	[trxC 2,718,735 &rarr; 2,719,154]	420	+
TU0-13413	G6991 // G6990	[tsaB-yeaY 1,889,951 &larr; 1,891,267]	1317	-
TU0-8571	EG11171	[tsaD 3,209,530 &larr; 3,210,543]	1014	-
TU0-14759	EG11281 // EG10595 // EG11757 // EG10438 // EG10437 // EG10435 // EG10436 // EG11363	[tsaE-amiB-mutL-miaA-hfq-hflXKC 4,395,585 &rarr; 4,404,304]	8720	+
TU0-13922	EG11262	[tsgA 3,492,568 &rarr; 3,493,749]	1182	+
TU0-7	EG11034	[tsr 4,591,657 &rarr; 4,593,312]	1656	+
TU0-1541	EG11034	[tsr 4,591,657 &rarr; 4,593,312]	1656	+
TU00450	EG11035	[tsx 431,129 &larr; 432,013]	885	-
TU00449	EG11035	[tsx 431,129 &larr; 432,013]	885	-
TU0-13225	G6675	[TU0-13225 1,411,013 &larr; 1,411,948]	936	-
TU00368	EG12393 // EG11169 // EG11168	[ttdABT 3,206,463 &rarr; 3,209,487]	3025	+
TU0-8757	EG12694	[ttdR 3,205,324 &larr; 3,206,256]	933	-
TU0-36426	EG11036	[tufA 3,470,145 &larr; 3,471,329]	1185	-
TU0-14519	EG11036	[tufA 3,470,145 &larr; 3,471,329]	1185	-
TU0-13346	EG11038	[TU0-13346 1,684,259 &rarr; 1,685,188]	930	+
TU0-8510	EG12216	[tusA 3,608,751 &larr; 3,608,996]	246	-
TU0-13104	EG12876	[TU0-13104 1,030,339 &larr; 1,030,668]	330	-
TU0-42552	EG13139	[tynA 1,449,076 &larr; 1,451,349]	2274	-
TU0-13243	EG13139	[TU0-13243 1,449,076 &larr; 1,451,349]	2274	-
TU00087	EG11040	[tyrB 4,267,114 &rarr; 4,268,307]	1194	+
TU00088	EG11041	[tyrP 1,989,681 &rarr; 1,990,892]	1212	+
TU0-6631	EG11041	[tyrP 1,989,681 &rarr; 1,990,892]	1212	+
TU00068	EG11042	[tyrR 1,386,720 &rarr; 1,388,261]	1542	+
