# Generated by /Users/miagrahn/wcEcoli/reconstruction/ecoli/scripts/protein_half_lives/convert_clim_half_lives_to_flat.py on Tue Mar 24 16:58:41 2026
id	common_name	half_life (units.min)
"EG11003-MONOMER"	"tig"	1914.725051971764
"TRYPTOPHAN-MONOMER"	"tnaA"	1914.725051971764
"EG11008-MONOMER"	"tolB"	1914.725051971764
"TPI-MONOMER"	"tpiA"	1914.725051971764
"G6660-MONOMER"	"tpx"	1914.725051971764
"TRANSALDOLA-MONOMER"	"talA"	1914.725051971764
"TRANSALDOLB-MONOMER"	"talB"	1914.725051971764
"EG11023-MONOMER"	"trmD"	1718.0354022566376
"TRYPSYN-APROTEIN"	"trpA"	1914.725051971764
"TRYPSYN-BPROTEIN"	"trpB"	1914.725051971764
"PD00423"	"trpR"	1542.894385007208
"THYMIDYLATESYN-MONOMER"	"thyA"	1914.725051971764
"2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER"	"ubiE"	1416.687662051863
"EG12216-MONOMER"	"tusA"	1137.7655994632705
"EG12146-MONOMER"	"rapZ"	1914.725051971764
"G6362-MONOMER"	"ybeY"	1914.725051971764
"EG11137-MONOMER"	"yebC"	726.9948162623763
"G7068-MONOMER"	"yeeN"	1914.725051971764
"EG11132-MONOMER"	"ppsR"	1914.725051971764
"EG11179-MONOMER"	"rimP"	1914.725051971764
"G7202-MONOMER"	"smrB"	576.5068258457601
"EG11100-MONOMER"	"ybaB"	1025.751901486818
"G6451-MONOMER"	"ybjQ"	1914.725051971764
"EG11323-MONOMER"	"ygfB"	1914.725051971764
"EG11320-MONOMER"	"nrdR"	1914.725051971764
"G6230-MONOMER"	"yaiI"	930.4003677368634
"G6550-MONOMER"	"ymdB"	1914.725051971764
"G6568-MONOMER"	"ycfP"	1287.6060177855143
"EG12605-MONOMER"	"yacL"	481.68934911512497
"G6240-MONOMER"	"yajQ"	1914.725051971764
"URACIL-PRIBOSYLTRANS-MONOMER"	"upp"	1914.725051971764
"UDK-MONOMER"	"udk"	1914.725051971764
"EG11062-MONOMER"	"uvrB"	731.2886058122169
"EG11063-MONOMER"	"uvrC"	1350.1223351624405
"UXAC-MONOMER"	"uxaC"	1914.725051971764
"PD01343"	"wrbA"	1914.725051971764
"EG11098-MONOMER"	"xseB"	1137.7655994632705
"EG11835-MONOMER"	"yihI"	959.4800540099717
"G7525-MONOMER"	"yqgF"	1914.725051971764
"EG10011-MONOMER"	"yaaA"	527.2711713605735
"EG11779-MONOMER"	"trmB"	1507.6416429057294
"EG11254-MONOMER"	"rlmH"	1914.725051971764
"EG10244-MONOMER"	"dnaT"	499.04709012384126
"EG11592-MONOMER"	"ybeD"	244.87917377491047
"EG10844-MONOMER"	"rhlB"	1914.725051971764
